Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
King Oscar Sardines (Sprats) in Zesty Tomato Sauce,3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,Yes,Tomato,No,No,8/12,106,3.75,Yes,No,No,No,No,Yes,No,No,No,OU,1,550,24,,,
"King Oscar Sardines (Sprats) Mediterranean Style with Extra Virgin Olive Oil, Herbes de Provence, Red Bell Pepper, Black Olives and Garlic",3.5,Extra Virgin Olive Oil,Sprats,Sprattus sprattus,Poland,King Oscar,Yes,No,"Black Olives, Red Bell Pepper",No,No,8/12,106,3.75,Yes,No,No,Yes,No,No,No,No,No,OU,1,530,23,,,
King Oscar Skinless and Boneless Sardines in Olive Oil,3.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,King Oscar,Yes,No,None,Yes,Yes,Unstated,125,4.38,No,No,No,No,No,No,No,No,No,OU/OUP,1,300,13,,,
King Oscar Skinless and Boneless Sardines Spanish Style Chili Pepper and Olive Oil,3.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,King Oscar,Yes,No,"Red Chili Pepper, Carrot, Pickled Cucumber",Yes,Yes,Unstated,125,4.38,No,No,No,No,Yes,No,No,No,No,OU,1,290,13,,,
"King Oscar Yellowfin Tuna in Extra Virgin Olive Oil with Green Olives, Glass Jar",15,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,El Salvador,King Oscar,Yes,No,"Green Olives, Red Pimentos",NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,1,550,24,,,
"King Oscar Yellowfin Tuna in Extra Virgin Olive Oil with Herbes de Provence, Glass Jar",15,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,El Salvador,King Oscar,Yes,No,"Red Bell Pepper, Green Olives, Black Olives, Herbes de Provence",NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,1,930,40,,,
"King Oscar Yellowfin Tuna in Extra Virgin Olive Oil with Jalapeño Peppers, Glass Jar",15,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,El Salvador,King Oscar,Yes,Yes,Jalapeño,NA,NA,NA,190,6.7,No,No,No,No,Yes,No,No,No,No,None,1,500,22,,,
"King Oscar Yellowfin Tuna in Extra Virgin Olive Oil with Sun Dried Tomatoes, Glass Jar",15,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,El Salvador,King Oscar,Yes,No,Sun-Dried Tomatoes,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,1,640,28,,,
La Brújula Boneless & Skinless Sardine Filetes No. 36,30,Olive Oil,Sardines,Sardina pilchardus,Spain,La Brújula,Yes,No,None,Yes,Yes,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,120,5,,,
La Brújula Chipiron Tinta (Squid in Ink) 6/8 No. 81,16.5,Olive Oil,Squid,Loligo gahi,Spain,La Brújula,Yes,No,Ink,NA,NA,6/8,110,3.8,No,No,No,No,No,Yes,No,No,No,None,2,255,11,,,
La Brújula Chipirones (Baby Squid in Olive Oil) 2/3 No. 84,15,Olive Oil,Squid,Loligo gahi,Spain,La Brújula,Yes,No,None,NA,NA,2/3,110,3.9,No,No,No,No,No,No,No,No,No,None,2,160,7,,,
La Brújula Chipirones (Baby Squid in Olive Oil) No. 80,17,Olive Oil,Squid,Loligo gahi,Spain,La Brújula,Yes,No,None,NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,2,160,7,,,
La Brújula Cockles in Brine 30/35 pieces No. 15,38,Water,Cockles,Cerastoderma edule,Spain,La Brújula,Yes,No,None,NA,NA,30/35,113,4,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
"La Brújula Flat Anchovy Fillets in Olive Oil 12/15, No. 72",43,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,La Brújula,Yes,No,None,Yes,Yes,12/15,85,3,No,No,No,No,No,No,No,No,No,None,1,2,1,* no way this is correct,,
"La Brújula Mackerel Fillets in Olive Oil, No. 140",18,Olive Oil,Mackerel,Scomber scombrus,Spain,La Brújula,Yes,No,None,Yes,Yes,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1,267,12,,,
La Brújula Mussels in Escabeche (Mejillones in Escabeche) 16/20 No. 130,11.5,"Olive Oil, Sunflower Oil",Mussels,Mytilus galloprovincialis,Spain,La Brújula,Yes,No,Escabeche,NA,NA,16/20,110,4,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
La Brújula Mussels in Pickled Sauce (Mejillones in Escabeche) 12/16 No. 24,16,"Olive Oil, Sunflower Oil",Mussels,Mytilus galloprovincialis,Spain,La Brújula,Yes,No,Escabeche,NA,NA,12/16,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
La Brújula Mussels in Pickled Sauce (Mejillones in Escabeche) 6/8 No. 21,18,"Olive Oil, Sunflower Oil",Mussels,Mytilus galloprovincialis,Spain,La Brújula,Yes,No,Escabeche,NA,NA,6/8,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
La Brújula Mussels in Pickled Sauce (Mejillones in Escabeche) 6/8 No. 26,24,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,La Brújula,Yes,No,Escabeche,NA,NA,6/8,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
La Brújula Mussels in Pickled Sauce (Mejillones in Escabeche) 8/12 No. 23,18,"Olive Oil, Sunflower Oil",Mussels,Mytilus galloprovincialis,Spain,La Brújula,Yes,No,Escabeche,NA,NA,8/12,110,4,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
La Brújula Pulpo Con Pimentón (Octopus in Paprika Sauce) No. 83,45.5,Olive Oil,Octopus,Octopus vulgaris,Spain,La Brújula,Yes,No,Paprika,NA,Na,Unstated,138,4.8,No,No,No,No,No,No,No,No,No,None,2,180,7,,,
La Brújula Razor Clams (Navajas) No. 6,30,Water,"Clam, Razor",Ensis arcuatus,Spain,La Brújula,Yes,No,None,NA,NA,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1.5,364,15,,,
"La Brújula Sardinas Guisadas (Fried Sardines in Sauce) ""Xoubas"" No. 35",18,Olive Oil,Sardines,Sardina pilchardus,Spain,La Brújula,Yes,No,"Tomato, Onion, Red Pepper",No,No,Unstated,130,4.6,No,No,No,No,Yes,Yes,No,Yes,No,None,2,320,13,,,
La Brújula Sardines in Olive Oil 3/4 Pieces No. 34,13,Olive Oil,Sardines,Sardina pilchardus,Spain,La Brújula,Yes,No,None,No,No,3/4,115,4,No,No,No,No,No,No,No,No,No,None,1,185,8,,,
La Brújula Sardinillas (Small Sardines) 16/20 count No. 31,13,Olive Oil,Sardines,Sardina pilchardus,Spain,La Brújula,Yes,No,None,No,No,16/20,115,4,No,No,No,No,No,No,No,No,No,None,2,180,8,,,
La Brújula Scallops (Zamburiñas) in Sauce No. 90,29,Olive Oil,Scallop,Aequipecten opercularis,Spain,La Brújula,Yes,No,"Tomato, Onion, Red Pepper",NA,NA,Unstated,110,3.9,No,No,No,No,Yes,Yes,No,No,No,None,2,180,7,,,
La Brújula Sea Urchin (Huevas de Erizo de Mar) No. 91,90,Water,Urchin Roe,Paracentrotus lividus,Spain,La Brújula,Yes,No,None,NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,2,150,6,,,
La Brújula Suprema Yellowfin Tuna Belly (Ventresca) No. 65,21,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,La Brújula,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
"La Brújula White Tuna (Bonito del Norte) in Olive Oil, No. 51, Glass Jar",35,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,La Brújula,Yes,No,None,NA,NA,Unstated,227,8,No,No,No,No,No,No,No,No,No,None,2,530,22,,,
La Brújula White Tuna in Olive Oil No. 54,15,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,La Brújula,Yes,No,None,NA,NA,NA,115,3.9,No,No,No,No,No,No,No,No,No,None,2,530,22,,,
La Brújula Yellowfin Tuna Belly (Ventresca) No. 60,21,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,La Brújula,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
"La Brújula Yellowfin Tuna Belly (Ventresca) No. 61, Large Format",37,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,La Brújula,Yes,No,None,NA,NA,NA,266,9.4,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
"La Brújula Yellowfin Tuna in Olive Oil, No. 62 Large Format",62,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,La Brújula,Yes,No,None,NA,NA,NA,990,,No,No,No,No,No,No,No,No,No,None,2,130,5,,,
Maria Organic Mackerel Fillets in Organic EVOO,13,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber japonicus,Portugal,Maria Organic,Yes,No,None,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,Yes,None,?,800,13,Per 100g,,
Maria Organic Sardines in Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Portugal,Maria Organic,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,Yes,None,?,920,15,Per 100g,,
Maria Organic Sardines in Organic Tomatoes and Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Portugal,Maria Organic,Yes,No,Tomato,No,No,Unstated,120,4.2,No,No,No,No,No,Yes,No,No,Yes,None,?,820,14,Per 100g,,
Maria Organic Small Sardines in Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Spain,Maria Organic,Yes,No,None,No,No,Unstated,90,3.2,No,No,No,No,No,No,No,No,Yes,None,?,1000,17,Per 100g,,
Maria Organic Spiced Mackerel Fillets in Organic EVOO,13,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber japonicus,Portugal,Maria Organic,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,Yes,None,?,800,13,Per 100g,,
Maria Organic Spiced Small Sardines in Organic EVOO,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Spain,Maria Organic,Yes,No,Spiced/Spicy,No,No,Unstated,90,3.2,No,No,No,No,Yes,No,No,No,Yes,None,?,1400,23,Per 100g,,
Marusa Shirasu Whitebait (“Anchovies”) with Black Pepper and Basil Infused Oil,14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,"Basil, Pepper, Cheese",NA,NA,Unstated,80,2.82,No,No,No,Yes,No,No,Yes,No,No,None,5,105,5,,,
Marusa Shirasu Whitebait (“Anchovies”) with Garlic Flakes and Togarishi,14.5,Extra Virgin Olive Oil,"Anchovies, Whitebait",?,Japan,Marusa Shirasu,No,No,Togarashi,NA,NA,Unstated,85,2.8,No,No,No,Yes,Yes,No,No,No,No,None,5,180,8,,,
Marusa Shirasu Whitebait (“Anchovies”) with Mentaiko (Cod Roe),14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,Cod Roe,NA,NA,Unstated,80,2.82,No,No,No,No,No,No,No,No,No,None,5,160,7,,,
Marusa Shirasu Whitebait (“Anchovies”) with Yuzu Kosho,14.5,Cottonseed Oil,"Anchovies, Whitebait",,Japan,Marusa,Yes,No,Yuku Kosho,NA,NA,Unstated,80,2.82,No,No,Yes,No,No,No,No,No,No,None,5,120,5,,,
Mary Manette Smoked Canadian Mussels,18,Mussel Nectar,Mussels,Mytilus edulis,Canada,Mary Manette,Yes,Yes,None,NA,NA,Unstated,70,2.5,Yes,No,No,No,No,No,No,No,No,None,1,370,16,,,
Mary Manette Smoked Salmon Pâté,13,,Salmon,,Canada,Mary Manette,Yes,No,"Cream, egg",NA,NA,Unstated,90,3.17,Yes,No,Yes,Yes,No,No,Yes,No,No,None,2,120,5,,,
Mary Manette Smoked Wild Nova Scotia Herring,12,None,Herring,Clupea harengus,Canada,Mary Manette,Yes,No,None,No,No,Unstated,190,6.7,Yes,No,No,No,No,No,No,No,No,None,4,210,9,,,
Matiz Bonito del Norte in Spanish Olive Oil,9.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Matiz,Yes,No,None,NA,NA,NA,111,4,No,No,No,No,No,No,No,No,No,None,1,290,13,,,
Matiz Cockles in Brine,12,Water,Cockles,Cerastoderma edule,Spain,Matiz,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,380,17,,,
Matiz Giant Calamari with White Beans and Paprika,10.5,Sunflower Oil,Giant Calamari,Dosidicus gigas,Spain,Matiz,Yes,No,"beans, spices (sweet paprika, hot paprika), onion, wine vinegar",NA,NA,Unstated,115,4.05,No,No,No,No,No,No,No,No,No,None,1,280,12,,,
Matiz Lightly Smoked Sardines in Spanish Olive Oil,5.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Matiz,Yes,No,None,No,No,Unstated,120,4.2,Yes,No,No,No,No,No,No,No,No,None,1,340,15,,,
Matiz Mackerel in Organic Extra Virgin Olive Oil,6.5,"Extra Virgin Olive Oil, Organic",Mackerel,"Scomber japonicus, Scomber colias",Spain,Matiz,Yes,No,None,Yes,Yes,Unstated,85,3,No,No,No,No,No,No,No,No,Yes,None,1,270,12,,,
Matiz Octopus (Wild Pulpo) in Spanish Olive Oil,14,Olive Oil,Octopus,Octopus vulgaris,Spain,Matiz,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Matiz Organic Mussels in Olive Oil & Vinegar (en Escabeche),10.5,"Extra Virgin Olive Oil, Organic",Mussels,Mytilus galloprovincialis,Spain,Matiz,Yes,No,Escabeche,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,Yes,None,1,550,24,,,
Matiz Sardines in Spanish Olive Oil,5,Olive Oil,Sardines,Sardina pilchardus,Spain,Matiz,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,1,336,15,,,
Matiz Sardines with Lemon,5,Sunflower Oil,Sardines,Sardina pilchardus,Spain,Matiz,Yes,No,None,No,No,Unstated,120,4.2,No,No,Yes,No,No,No,No,No,No,None,1,340,15,,,
Matiz Small Sardines with Sweet Piquillo Peppers,6.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Matiz,Yes,No,Piquillo Peppers,No,No,Unstated,85,3,No,No,No,No,No,No,No,No,No,None,1,310,14,,,
Matiz Spicy Sardines with Piri Piri Pepper,5.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Matiz,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,No,None,1,336,15,,,
Matiz Wild Cod in Spanish Olive Oil,11,Olive Oil,Cod,Gadus morhua,Spain,Matiz,Yes,No,None,Yes,No,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,470,20,,,
Minerva Mackerel Fillets in Organic Extra Virgin Olive Oil,14,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber japonicus,Portugal,Minerva,Yes,No,None,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,Yes,None,?,1000,?,per 100g,,
Minerva Mackerel Fillets in Spiced Olive Oil with Pickles,11.5,Olive Oil,Mackerel,Scomber japonicus,Portugal,Minerva,Yes,No,"Spiced/Spicy Carrot, Cucumber, Piri Piri",Yes,Yes,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,?,1000,?,per 100g,,
Minerva Sardines in Olive Oil,11,Olive Oil,Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,None,No,No,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,?,800,?,per 100g,,
Minerva Sardines in Olive Oil with Lemon,11,Olive Oil,Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,Lemon,No,No,Unstated,120,4.2,No,No,Yes,No,No,No,No,No,No,None,?,800,?,per 100g,,
Minerva Sardines in Organic Extra Virgin Olive Oil,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,Yes,None,?,900,?,per 100g,,
Minerva Sardines in Organic Extra Virgin Olive Oil with Piri Piri Pepper,11,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,Yes,None,?,900,?,per 100g,,
Minerva Sardines Skinless & Boneless in Hot Tomato Sauce,9,Olive Oil,Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,Spiced/Spicy Tomato,Yes,Yes,Unstated,120,4,No,No,No,No,Yes,Yes,No,No,No,None,?,680,?,per 100g,,
Minerva Sardines Skinless & Boneless in Olive Oil,11.5,Olive Oil,Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,None,Yes,Yes,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,?,425,?,per 100g,,
Minerva Sardines Skinless & Boneless in Spiced Olive Oil and Pickles,9,Olive Oil,Sardines,Sardina pilchardus,Portugal,Minerva,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,?,425,?,per 100g,,
Minerva Skipjack Tuna Fillets in Olive Oil,11.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Minerva,Yes,No,None,NA,NA,NA,120,4,No,No,No,No,No,No,No,No,No,None,?,700,?,per 100g,,
Minerva Skipjack Tuna Fillets in Organic Extra Virgin Olive Oil,14.5,"Extra Virgin Olive Oil, Organic","Tuna, Skipjack",Katsuwonus pelamis,Portugal,Minerva,Yes,No,None,NA,NA,NA,120,4,No,No,No,No,No,No,No,No,Yes,None,?,700,?,per 100g,,
Minerva Skipjack Tuna Fillets in Spiced Olive Oil,12.5,Olive OIl,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Minerva,Yes,No,Spiced/Spicy,NA,NA,Unstated,120,4,No,No,No,No,Yes,No,No,No,No,None,?,490,?,per 100g,,
Minerva Ventresca of Yellowfin Tuna in Olive Oil,16.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Portugal,Minerva,Yes,No,None,NA,NA,Unstated,120,4,No,No,No,No,No,No,No,No,No,None,?,700,?,per 100g,,
Les Mouettes d’Arvor Rillettes de Langoustine aux graines de Souchet (Langoustine Rillettes with Tiger Nuts),11,Sunflower Oil,Norway lobster,Nephrops norvegicus,France,Mouettes d'Arvor,Yes,No,Tiger nuts,Yes,Yes,NA,125,4.4,No,No,No,Yes,No,No,Yes,No,No,None,2,310,,,,
Mouettes d'Arvor Boneless Whole Sardines in Extra Virgin Olive Oil,14,"Extra Virgin Olive Oil, Organic",Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,Yes,No,Unstated,115,4,No,No,No,No,No,No,No,No,Yes,None,2,280,10,,,
Mouettes d'Arvor Filets de maquereaux au naturel (Mackerel Fillets in Brine),9,Water,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,None,Yes,Yes,Unstated,169,5.96,No,No,No,No,No,No,No,No,No,None,3,200,9,,,
Mouettes d'Arvor Mackerel Fillets in Catalan Sauce (Filets de Maquereaux à la Catalane),10.5,Sunflower Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,Yes,Catalan,Yes,No,Unstated,169,5.96,No,No,No,No,No,Yes,No,No,No,None,3,116,5,,,
Mouettes d'Arvor Mackerel Fillets in Escabeche,10.5,Sunflower Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,Escabeche,Yes,Yes,Unstated,169,5.96,No,No,No,No,No,Yes,No,No,No,None,3,94,4,,,
Mouettes d'Arvor Mackerel Fillets with Lemon and Basil,10.5,Sunflower Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,Yes,"Mustard, Lemon Juice, Basil",Yes,Yes,Unstated,176,6.2,No,No,Yes,No,No,No,No,No,No,None,3,69,3,,,
Mouettes d'Arvor Mackerel Fillets with Organic Brittany Seaweed,10,Extra Virgin Olive Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,Seaweed,Yes,No,Unstated,176,6.2,No,No,No,No,No,No,No,No,Yes,None,3,45,2,,,
Mouettes d'Arvor Mackerel in Muscadet Wine & Herbs,9,Water,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,"Vinegar, Wine",Yes,No,Unstated,176,6.2,No,No,No,No,No,No,No,No,No,None,3,40,2,,,
Mouettes d'Arvor Mackerel in Mustard & Crème Fraiche,9,Sunflower Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,"Mustard, Cream",Yes,No,Unstated,169,5.96,No,No,No,Yes,No,No,Yes,No,No,None,3,290,13,,,
Mouettes d'Arvor Rillettes de Maquereaux à la moutarde à l'ancienne (Mackerel Rillette with whole grain mustard),9,Sunflower Oil,Mackerel,Scomber scombrus,France,Mouettes d'Arvor,Yes,No,"Mustard, Onion",NA,NA,NA,125,4.4,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
Mouettes d'Arvor Rillettes de Merlu au cidre (Hake rillettes with cider),9,Sunflower Oil,Hake,?,France,Mouettes d'Arvor,Yes,No,"Cream, Onion, Garlic, Cider",NA,NA,NA,125,4.4,No,No,No,Yes,No,No,Yes,No,No,None,2,290,13,,,
Mouettes d'Arvor Rillettes de noix de Saint-Jacques (Scallop Rillettes),12,"Butter, Sunflower Oil",Scallop,"Varies, see lid",France,Mouettes d'Arvor,Yes,No,"Carrots, Butter, Onion, Garlic",NA,NA,NA,125,4.4,No,No,No,Yes,No,No,Yes,Yes,No,None,2,360,16,,,
Mouettes d'Arvor Rillettes de Thon Blanc aux tomates séchées (Albacore with sun-dried tomatoes),9.5,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,France,Mouettes d'Arvor,Yes,No,Sun-Dried Tomatoes,NA,NA,NA,125,4.4,No,No,No,Yes,No,Yes,No,No,No,None,2,240,11,,,
Mouettes d'Arvor Rillettes of Salmon w/ Lemon & Dill,9,Sunflower Oil,Salmon,?,France,Mouettes d'Arvor,Yes,No,"Lemon, Dill",NA,NA,Rillette,125,4.4,No,No,Yes,No,No,No,No,No,No,None,2,475,21,,,
Mouettes d'Arvor Rillettes of Tuna & Fromage Frais,9,Sunflower Oil,"Tuna, Skipjack",Katsuwonus pelamis,France,Mouettes d'Arvor,Yes,No,"Cheese, Fromage Frais (cream cheese)",NA,NA,Rillette,125,4,No,No,No,Yes,No,No,Yes,No,No,None,2,90,4,,,
Mouettes d'Arvor Sardine Fillets in Extra Virgin Olive Oil,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,Yes,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,298,13,,,
Mouettes d'Arvor Sardine Rillettes with Fresh Tomato,9,Sunflower Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,"Tomato, Onion, Red Pepper",NA,NA,NA,125,4.4,No,No,No,No,No,Yes,No,No,No,None,2,250,11,,,
Mouettes d'Arvor Sardines in EVOO w/ Lemon Confit & Chili Pepper,9.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,"Lemon, Chili",No,No,Unstated,115,4,No,No,Yes,No,Yes,No,No,No,No,None,2,280,10,,,
Mouettes d'Arvor Sardines in EVOO with Basil and Thyme,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,"Basil, Thyme",No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
Mouettes d'Arvor Sardines in Extra Virgin Olive Oil,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
Mouettes d'Arvor Sardines in Extra Virgin Olive Oil and Chili (Pili-Pili),11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Spiced/Spicy,No,No,Unstated,115,4,No,No,No,No,Yes,No,No,No,No,None,2,280,10,,,
Mouettes d'Arvor Sardines in Extra Virgin Olive Oil and Lemon,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Lemon,No,No,Unstated,115,4,No,No,Yes,No,No,No,No,No,No,None,2,280,10,,,
Mouettes d'Arvor Sardines in Extra Virgin Olive Oil and Tomato Sauce,10,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,Yes,Tomato,No,No,Unstated,115,4,No,No,No,No,No,Yes,No,No,No,None,2,180,8,,,
Mouettes d'Arvor Sardines in Extra Virgin Olive Oil with Sichuan Pepper,11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,Sichuan Pepper,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Commemorative ""Brest 2020""",16,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage ""Saison 2018""",13,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,240,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage ""Saison 2020""",13.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage ""Saison 2021""",12.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage ""Ville bleue 2019""",11,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,240,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage ""Ville Bleue 2020""",13.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,240,10,,,
"Mouettes d'Arvor Sardines in Extra Virgin Olive Oil, Vintage “Ville Bleue 2021”",12.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Mouettes d'Arvor,Yes,No,None,No,No,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,2,280,10,,,
