anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,q18,q19,q32,q20,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d,tratamiento
1970,50 a 64 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Masculino,Soltero(a),3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,No sabe / Prefiere no contestar,Circunstancias fuera de su control,Menos de 5,Menos de 5 personas,En desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,"Si, como mis amigos",,,,"Si, como mi pareja","Si, como mis vecinos",,,,,Informativo
2003,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,las Américas,Femenino,Casado(a) / Unión Libre,3,Sí,Primaria completa,Desempleado(a) y buscando trabajo,2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,Circunstancias fuera de su control,Más de 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo en desacuerdo,De acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,"Si, como mi pareja",,,,,,Informativo
2003,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Villa mella,Femenino,Soltero(a),4,No,Universitaria incompleta,Estudiante,3,No,No,7,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1998,18 a 29 años,Republica Dominicana,San Cristóbal,Zona 2,San Cristobal,Femenino,Soltero(a),7,No,Universitaria incompleta,Estudiante,2,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Informativo
1994,18 a 29 años,Republica Dominicana,La Altagracia,Zona 3,Higüey,Masculino,Soltero(a),3,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,Sí,5,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 10 y 20,Algo de acuerdo,No sabe / Prefiere no contestar,Bueno,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,,Prefiere no contestar,,Informativo
1972,30 a 49 años,Republica Dominicana,San Cristóbal,Zona 2,san cristobal,Femenino,Casado(a) / Unión Libre,4,Sí,Secundaria completa,Desempleado(a) y buscando trabajo,2,No,No,5,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Depende,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Informativo
2000,18 a 29 años,Republica Dominicana,María Trinidad Sánchez,Zona 3,Nagua,Masculino,Soltero(a),6,No,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,Sí,0 - Izquierda,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Entre 5 y 10,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Informativo
1973,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Villa mella,Femenino,Soltero(a),5,Sí,Secundaria completa,Empleado(a) de tiempo parcial (menos de 8 horas por día),1 - Más pobres,Sí,No,10 - Derecha,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1992,18 a 29 años,Republica Dominicana,San Cristóbal,Zona 2,Bajos de haina,Femenino,Casado(a) / Unión Libre,5,Sí,Universitaria incompleta,A cargo de las tareas del hogar/ crianza de los hijos,3,No sabe / Prefiere no contestar,No,4,Entre 0 y 20.000,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Malo,Depende,Bueno,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo en desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,,,,,,"Si, como mis vecinos",,,,,Informativo
1994,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Masculino,Soltero(a),4,No,Universitaria incompleta,Estudiante,3,No,No,5,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 20 y 30,Entre 10 y 20,De acuerdo,No sabe / Prefiere no contestar,Depende,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1990,30 a 49 años,Republica Dominicana,Sánchez Ramírez,Zona 3,sanchez Ramirez,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Desempleado(a) y buscando trabajo,1 - Más pobres,Sí,No,1,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1978,30 a 49 años,Republica Dominicana,Peravia,Zona 2,Bani,Masculino,Casado(a) / Unión Libre,6,Sí,Secundaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,7,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 20 y 30,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1990,30 a 49 años,Republica Dominicana,San Cristóbal,Zona 2,Villa Altagracia,Femenino,Prefiere no contestar,4,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,6,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas migrantes.,Depende,Depende,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1969,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Este,Masculino,Casado(a) / Unión Libre,6,Sí,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,9,Entre 28.000 y 38.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Menos de 5 personas,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos",,,,,,,,,,Informativo
1994,18 a 29 años,Republica Dominicana,Valverde,Zona 4,Esperanza,Femenino,Soltero(a),5,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,7,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Entre 10 y 20,Menos de 5 personas,De acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Bueno,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi","Si, como mis empleadores",,"Si, como mis vecinos",,,,,Informativo
1976,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,santo Domingo,Masculino,Casado(a) / Unión Libre,3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,8,Más de 57.000,No los tendría como vecinos,Los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1989,30 a 49 años,Republica Dominicana,San Juan,Zona 2,san juan,Masculino,Casado(a) / Unión Libre,3,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No sabe / Prefiere no contestar,3,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Entre 20 y 30,Algo en desacuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,,Informativo
1995,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Soltero(a),4,Sí,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),4,Sí,No,0 - Izquierda,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 5 y 10,De acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Depende,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1972,30 a 49 años,Republica Dominicana,San Pedro de Macorís,Zona 3,San pedro de macoris,Femenino,Soltero(a),3,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No sabe / Prefiere no contestar,No,3,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,Circunstancias fuera de su control,Entre 20 y 30,Entre 5 y 10,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
2003,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo este,Masculino,Soltero(a),4,No,Secundaria completa,Estudiante,3,No,No,3,Entre 20.000 y 28.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Entre 20 y 30,Entre 10 y 20,De acuerdo,No donaría a nadie.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,"Si, como mis amigos",,,,,"Si, como mis vecinos",,,,,Informativo
1989,30 a 49 años,Republica Dominicana,Santiago,Zona 4,Santiago,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 38.000 y 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Menos de 5 personas,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Depende,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1995,18 a 29 años,Republica Dominicana,San Cristóbal,Zona 2,Santo domingo,Femenino,Casado(a) / Unión Libre,3,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No,Sí,1,No sabe / Prefiere no contestar,Los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Más de 30,Más de 30,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Depende,Depende,De acuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,,,,,,,,Ninguna relación,,,Informativo
1961,50 a 64 años,Republica Dominicana,La Altagracia,Zona 3,Higuey,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria incompleta,Empleado(a) de tiempo parcial (menos de 8 horas por día),2,No,No,5,Entre 28.000 y 38.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Depende,Depende,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1984,30 a 49 años,Republica Dominicana,Valverde,Zona 4,Varberde mao,Femenino,Soltero(a),3,Sí,Secundaria incompleta,Desempleado(a) y buscando trabajo,1 - Más pobres,Sí,No,10 - Derecha,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 20 y 30,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Informativo
1968,50 a 64 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),1,Sí,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,10 - Derecha,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas migrantes.,Depende,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos",,"Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,,Informativo
1996,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),5,Sí,Primaria incompleta,Desempleado(a) y buscando trabajo,3,Sí,No sabe / Prefiere no contestar,2,Entre 20.000 y 28.000,No sabe / Prefiere no contestar,Los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Menos de 5,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Malo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Informativo
1986,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Distrito Nacional,Masculino,Casado(a) / Unión Libre,2,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,7,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que protege el medio ambiente.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1999,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),3,No,Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,No sabe / Prefiere no contestar,Entre 38.000 y 57.000,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,No los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 20 y 30,Algo en desacuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,Bueno,Algo de acuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Informativo
1968,50 a 64 años,Republica Dominicana,Monte Plata,Zona 3,República Dominicana,Masculino,Casado(a) / Unión Libre,5,Sí,Secundaria incompleta,Empleado(a) de tiempo parcial (menos de 8 horas por día),2,Sí,No,4,Entre 20.000 y 28.000,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1973,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo Norte,Masculino,Casado(a) / Unión Libre,4,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 38.000 y 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Informativo
1962,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Masculino,Soltero(a),2,Sí,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",5 - Más ricos,Sí,No,4,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos","Si, otro",,,"[Si, otro ]No tengo problemas con ellos, pues estudie fuera de mi pais y vivi 21 años en el extranjero",Informativo
